Boat Name,gear_type,gear_type_simplified
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Muomba Mungu Hachoki,,Unknown
Kisuna,Ring net (RN),Ring_net
,,Unknown
Kisuna,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Ulezi Kazi,,Unknown
Ulezi Kazi,,Unknown
Hazal,Ring net (RN),Ring_net
,,Unknown
Jamila,Hand line,Handline
Majungu Sielimu,,Unknown
Big up,Ring net (RN),Ring_net
DUA 2,,Unknown
Taysir,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
DUA 2,,Unknown
DUA 2,,Unknown
Angalia Mbele,Ring net (RN):,Ring_net
Angalia Mbele,Ring net (RN):,Ring_net
Big up,Ring net (RN),Ring_net
DUA 2,,Unknown
DUA 2,,Unknown
Atowae Mungu,Hand line,Handline
Atowae Mungu,Hand line,Handline
Big up,Ring net (RN),Ring_net
Big up,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Sikuhazigandi 2,,Unknown
Sikuhazigandi 2,,Unknown
Sikuhazigandi 2,,Unknown
Sikuhazigandi 2,,Unknown
Sikuhazigandi 2,,Unknown
Zam Zam,Ring net (RN),Ring_net
Zam Zam,Ring net (RN),Ring_net
Zam Zam,Ring net (RN),Ring_net
Zam Zam,Ring net (RN),Ring_net
Zam Zam,Ring net (RN),Ring_net
Angalia Mbele,Ring net (RN):,Ring_net
Baba Wawili,handline,Handline
Saluti Apewe Mama,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Baba Wawili,handline,Handline
Baba Wawili,handline,Handline
Angalia Mbele,Ring net (RN):,Ring_net
Big up,Ring net (RN),Ring_net
Nia Njema,Handline,Handline
Jamila,Hand line,Handline
Mashaallah,Ring net (RN),Ring_net
Mashaallah,Ring net (RN),Ring_net
Ulezi Kazi,,Unknown
Zam Zam,Ring net (RN),Ring_net
Hazal,Ring net (RN),Ring_net
Atowae Mungu,Hand line,Handline
Taysir,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Ulezi Kazi,,Unknown
Imani,Hand line,Handline
Kisuna,Ring net (RN),Ring_net
Ulezi Kazi,,Unknown
Zam Zam,Ring net (RN),Ring_net
Sina haja,Hand line,Handline
Jamila,Hand line,Handline
Jamila,Hand line,Handline
Taysir,Ring net (RN),Ring_net
Atowae Mungu,Hand line,Handline
Atowae Mungu,Hand line,Handline
Baba Wawili,handline,Handline
Ulezi Kazi,,Unknown
Kisuna,Ring net (RN),Ring_net
Atowae Mungu,Hand line,Handline
Jamila,Hand line,Handline
Taysir,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
,,Unknown
,,Unknown
Saluti Apewe Mama,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Kisuna,Ring net (RN),Ring_net
,,Unknown
Kisuna,Ring net (RN),Ring_net
Atowae Mungu,Hand line,Handline
Baba Wawili,handline,Handline
,,Unknown
Sina haja,Hand line,Handline
Sina haja,Hand line,Handline
Kisuna,Ring net (RN),Ring_net
Saluti Apewe Mama,Ring net (RN),Ring_net
Big up,Ring net (RN),Ring_net
Imani,Hand line,Handline
Big up,Ring net (RN),Ring_net
Sina haja,Hand line,Handline
,,Unknown
Ulezi Kazi,,Unknown
Baba Wawili,handline,Handline
Ulezi Kazi,,Unknown
Baba Wawili,handline,Handline
Saluti Apewe Mama,Ring net (RN),Ring_net
,,Unknown
Sina haja,Hand line,Handline
,,Unknown
Ulezi Kazi,,Unknown
Big up,Ring net (RN),Ring_net
Ulezi Kazi,,Unknown
Kisuna,Ring net (RN),Ring_net
Saluti Apewe Mama,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Saluti Apewe Mama,Ring net (RN),Ring_net
Sina haja,Hand line,Handline
Kisuna,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Jamila,Hand line,Handline
Imani,Hand line,Handline
Focus,RIng net,Ring_net
Ulezi Kazi,,Unknown
Kisuna,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Sikuhazigandi 2,,Unknown
Kisuna,Ring net (RN),Ring_net
Ulezi Kazi,,Unknown
Jamila,Hand line,Handline
Sikuhazigandi 2,,Unknown
Taysir,Ring net (RN),Ring_net
Atowae Mungu,Hand line,Handline
Ulezi Kazi,,Unknown
Kisuna,Ring net (RN),Ring_net
Imani,Hand line,Handline
Atowae Mungu,Hand line,Handline
Taysir,Ring net (RN),Ring_net
Sina haja,Hand line,Handline
Ulezi Kazi,,Unknown
Kisuna,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Atowae Mungu,Hand line,Handline
Jamila,Hand line,Handline
Kisuna,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Taysir,Ring net (RN),Ring_net
Ulezi Kazi,,Unknown
Atowae Mungu,Hand line,Handline
Jamila,Hand line,Handline
Imani,Hand line,Handline
Ulezi Kazi,,Unknown
Taysir,Ring net (RN),Ring_net
Kisuna,Ring net (RN),Ring_net
Imani,Hand line,Handline
Sina haja,Hand line,Handline
Ulezi Kazi,,Unknown
Kisuna,Ring net (RN),Ring_net
Taysir,Ring net (RN),Ring_net
Imani,Hand line,Handline
Taysir,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Kisuna,Ring net (RN),Ring_net
Baba Wawili,handline,Handline
Big up,Ring net (RN),Ring_net
