Boat Name,gear_type
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Muomba Mungu Hachoki,Unknown
Kisuna,Ring_net
,Unknown
Kisuna,Ring_net
Kisuna,Ring_net
Kisuna,Ring_net
Kisuna,Ring_net
Kisuna,Ring_net
Kisuna,Ring_net
Taysir,Ring_net
Ulezi Kazi,Unknown
Ulezi Kazi,Unknown
Hazal,Ring_net
,Unknown
Jamila,Handline
Majungu Sielimu,Unknown
Big up,Ring_net
DUA 2,Unknown
Taysir,Ring_net
Taysir,Ring_net
Taysir,Ring_net
Taysir,Ring_net
DUA 2,Unknown
DUA 2,Unknown
Angalia Mbele,Ring_net
Angalia Mbele,Ring_net
Big up,Ring_net
DUA 2,Unknown
DUA 2,Unknown
Atowae Mungu,Handline
Atowae Mungu,Handline
Big up,Ring_net
Big up,Ring_net
Baba Wawili,Handline
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Zam Zam,Ring_net
Zam Zam,Ring_net
Zam Zam,Ring_net
Zam Zam,Ring_net
Zam Zam,Ring_net
Angalia Mbele,Ring_net
Baba Wawili,Handline
Saluti Apewe Mama,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Mashaallah,Ring_net
Baba Wawili,Handline
Baba Wawili,Handline
Baba Wawili,Handline
Angalia Mbele,Ring_net
Big up,Ring_net
Nia Njema,Handline
Jamila,Handline
Mashaallah,Ring_net
Mashaallah,Ring_net
Ulezi Kazi,Unknown
Zam Zam,Ring_net
Hazal,Ring_net
Atowae Mungu,Handline
Taysir,Ring_net
Baba Wawili,Handline
Ulezi Kazi,Unknown
Imani,Handline
Kisuna,Ring_net
Ulezi Kazi,Unknown
Zam Zam,Ring_net
Sina haja,Handline
Jamila,Handline
Jamila,Handline
Taysir,Ring_net
Atowae Mungu,Handline
Atowae Mungu,Handline
Baba Wawili,Handline
Ulezi Kazi,Unknown
Kisuna,Ring_net
Atowae Mungu,Handline
Jamila,Handline
Taysir,Ring_net
Kisuna,Ring_net
,Unknown
,Unknown
Saluti Apewe Mama,Ring_net
Baba Wawili,Handline
Kisuna,Ring_net
,Unknown
Kisuna,Ring_net
Atowae Mungu,Handline
Baba Wawili,Handline
,Unknown
Sina haja,Handline
Sina haja,Handline
Kisuna,Ring_net
Saluti Apewe Mama,Ring_net
Big up,Ring_net
Imani,Handline
Big up,Ring_net
Sina haja,Handline
,Unknown
Ulezi Kazi,Unknown
Baba Wawili,Handline
Ulezi Kazi,Unknown
Baba Wawili,Handline
Saluti Apewe Mama,Ring_net
,Unknown
Sina haja,Handline
,Unknown
Ulezi Kazi,Unknown
Big up,Ring_net
Ulezi Kazi,Unknown
Kisuna,Ring_net
Saluti Apewe Mama,Ring_net
Kisuna,Ring_net
Saluti Apewe Mama,Ring_net
Sina haja,Handline
Kisuna,Ring_net
Taysir,Ring_net
Jamila,Handline
Imani,Handline
Focus,Ring_net
Ulezi Kazi,Unknown
Kisuna,Ring_net
Taysir,Ring_net
Sikuhazigandi 2,Unknown
Kisuna,Ring_net
Ulezi Kazi,Unknown
Jamila,Handline
Sikuhazigandi 2,Unknown
Taysir,Ring_net
Atowae Mungu,Handline
Ulezi Kazi,Unknown
Kisuna,Ring_net
Imani,Handline
Atowae Mungu,Handline
Taysir,Ring_net
Sina haja,Handline
Ulezi Kazi,Unknown
Kisuna,Ring_net
Taysir,Ring_net
Atowae Mungu,Handline
Jamila,Handline
Kisuna,Ring_net
Baba Wawili,Handline
Taysir,Ring_net
Ulezi Kazi,Unknown
Atowae Mungu,Handline
Jamila,Handline
Imani,Handline
Ulezi Kazi,Unknown
Taysir,Ring_net
Kisuna,Ring_net
Imani,Handline
Sina haja,Handline
Ulezi Kazi,Unknown
Kisuna,Ring_net
Taysir,Ring_net
Imani,Handline
Taysir,Ring_net
Baba Wawili,Handline
Kisuna,Ring_net
Baba Wawili,Handline
Big up,Ring_net
Angalia Mbele,Ring_net
Kisuna,Ring_net
Baba Wawili,Handline
Taysir,Ring_net
Zam Zam,Ring_net
Kisuna,Ring_net
Baba Wawili,Handline
Taysir,Ring_net
Sina haja,Handline
Zam Zam,Ring_net
Taysir,Ring_net
Taysir,Ring_net
Ulezi Kazi,Unknown
Baba Wawili,Handline
Baba Wawili,Handline
Imani,Handline
Focus,Ring_net
Taysir,Ring_net
Jamila,Handline
Baba Wawili,Handline
Angalia Mbele,Ring_net
Taysir,Ring_net
Ulezi Kazi,Unknown
Ulezi Kazi,Unknown
Kisuna,Ring_net
Baba Wawili,Handline
Imani,Handline
Ulezi Kazi,Unknown
Sina haja,Handline
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Sikuhazigandi 2,Unknown
Hazal,Ring_net
Hazal,Ring_net
Hazal,Ring_net
Hazal,Ring_net
Hazal,Ring_net
Hazal,Ring_net
Hazal,Ring_net
Hazal,Ring_net
Saluti Apewe Mama,Ring_net
Saluti Apewe Mama,Ring_net
Saluti Apewe Mama,Ring_net
Kisuna,Ring_net
Big up,Ring_net
Big up,Ring_net
Big up,Ring_net
Big up,Ring_net
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Nia Njema,Handline
Taysir,Ring_net
Amani,Handline
Bora Miadi,Handline
Kambi popote,Unknown
Kambi popote,Unknown
Kambi popote,Unknown
