Boat Name,gear_type
Pelagic 397443,Handline
Kauthari,Ring_net
Go Blue 13,Gillnet
Mtwapa Fishermen Group,Handline
Radhi ya Mama,Unknown
Inalah Maswabrina,Ring_net
Go Blue,Gillnet
Heaven on earth,Gillnet
MV Faraji,Gillnet
Chimano,Longline
RIGY-G,Gillnet
RK,Longline
Spracht Alli,Gillnet
Zambezi 2,Gillnet
Mkombozi,Gillnet
Bureni fishermen Community marine conservation,Gillnet
Al Batwatu,Longline
Mv Albeidh,Longline
MV Al Ahad,Longline
IBIN MASud VIP,Ring_net
Mv Sitaki,Ring_net
Goblue004,Handline
GoBlue033,Handline
Go Blue 06,Handline
Ibn Nassoro,Seine
Mv.Tusitiri,Gillnet
Mv. Cabinet Malkia,Ring_net
Mv Maisha,Handline
Mv Bonito,Trap
Mv Taufiq,Handline
Romeo,Gillnet
Pweza women group,Gillnet
Mv amkeni,Handline
Lady maryam,Gillnet
Go blue 015,Trap
Mv. Baba Mkwaru,Trap
Hayan,Handline
Mayungu high vision,Trap
Hasbunallah,Handline
Mv.Mashallah,Other
Mv.Mashallah,Ring_net
Mv.Salaam,Gillnet
Mv.Fisherfolk,Gillnet
Mv.Siwote,Gillnet
Faizina,Gillnet
Mv TabarakaAllah3,Ring_net
Firdhaus,Handline
Mv.Nyamrani,Ring_net
WatuBwana?,Ring_net
Nizake,Handline
Fadhil Rabi,Longline
Mv Kadari,Handline
Uyombo sub creek conservation self-help group,Gillnet
Maimuna,Handline
Riziki kwa mungu,Gillnet
Go blue 043,Longline
Mv Salam,Ring_net
YATHRIB,Gillnet
Alfajiri,Gillnet
Mv Buraq,Gillnet
Mv Saidi,Gillnet
The Forgiver,Handline
Nastahino,Seine
Maisara,Gillnet
Husna,Gillnet
Naim,Gillnet
Yumna,Trawl
Go blue 019,Longline
Bahamisi,Gillnet
Yusra,Gillnet
Turuzuku,Gillnet
Shaza,Gillnet
Lawarid,Other
Layafutu,Handline
Manwella,Seine
Hairat,Gillnet
Najda,Gillnet
Lamu BMU,Gillnet
Nadhif,Gillnet
Bushra,Other
Bushra,Gillnet
Mv.Tana 004,Gillnet
Zakiya,Gillnet
Shurafa,Gillnet
Sangafori,Gillnet
Najat,Gillnet
Mathna,Gillnet
Manna,Handline
Queen of the ocean,Trawl
Go Blue 41,Gillnet
Feiswal 2,Gillnet
MASIALA,Handline
Boko Zare,Handline
Najua mtasema,Trawl
Fadhil Karim,Gillnet
Yahafidh,Gillnet
Ruhayla3,Trawl
Nasriya,Ring_net
Mv.Galfaria,Ring_net
Mv.Shukrani Yarabi,Ring_net
Usinitie Doa,Ring_net
The cabinet,Ring_net
Haipotei 1,Handline
Mv.Haipotei,Longline
Mv Amani,Handline
Mwakamba Fishers,Ring_net
Subira,Unknown
Princess Mima,Gillnet
Salama,Other
Firdaus,Gillnet
MV.Trade winds,Gillnet
Rohoboth,Handline
Marahaba,Trap
Maysar,Gillnet
Haijambo,Gillnet
Fadhakir,Gillnet
Nastainu,Gillnet
Nawras  LFB 3188,Other
Victory,Gillnet
