BMU;CPUA;CPUE;Effort;MSY
Uyombo;11.5;3.8;2.5;25.5
Wesa;11.5;3.8;2.5;25.5
Kijangwani;11.5;4.19;4.7;25.5
Kuruwitu;11.5;3.64;4.6;25.5
Vipingo;11.5;2.59;2.2;25.5
Bureni;11.5;2.59;2.2;25.5
Msumarini;11.5;2.59;2.2;25.5
Kanamai;11.5;3.64;4.6;25.5
Mtwapa;11.5;3.27;4.6;25.5
Marina;11.5;3.27;4.6;25.5
Kenyatta;11.5;3.64;4.6;25.5
Reef;11.5;3.64;4.6;25.5
Nyali;11.5;3.64;4.6;25.5
Shelly-Timbwani;11.5;3.8;2.5;25.5
Tradewinds;11.5;2.43;1;25.5
Mwaepe;11.5;3.64;4.6;25.5
Mvuleni;11.5;3.64;4.6;25.5
Mwanyaza;11.5;3.64;4.6;25.5
Rigata;11.5;3.64;4.6;25.5
Gazi;11.5;3.27;4.6;25.5
Kibuyuni;14.1;2.43;1;19.5
Wasini;14.1;3.64;4.6;19.5
Mkwiro;14.1;4.19;4.7;19.5
Vanga;14.1;2.43;1;19.5
Jimbo;14.1;2.43;1;19.5
