iter	Logloss
0	0.6544574173
1	0.6186957128
2	0.5849707117
3	0.5574786767
4	0.5352001817
5	0.5156776647
6	0.4995148154
7	0.4846054667
8	0.4728377156
9	0.4581045333
10	0.4458227755
11	0.4359062542
12	0.4266544994
13	0.4191256792
14	0.412392674
15	0.4035152883
16	0.3960292844
17	0.3899014492
18	0.3844987914
19	0.3796907161
20	0.3753676932
21	0.3704950263
22	0.3655278534
23	0.3605940645
24	0.3557928333
25	0.3517926048
26	0.3486389594
27	0.3449256403
28	0.3414291817
29	0.3372589322
30	0.3340303313
31	0.3304412957
32	0.3281687179
33	0.3256227319
34	0.3218938855
35	0.3188848682
36	0.3165700917
37	0.3146094311
38	0.3119176171
39	0.3099242198
40	0.3081494693
41	0.3058516022
42	0.3035158475
43	0.3012679686
44	0.2994989474
45	0.2968427552
46	0.2950965715
47	0.2931555138
48	0.2916690539
49	0.2905749716
50	0.2892208406
51	0.2874831422
52	0.2849132169
53	0.2834899092
54	0.2821278394
55	0.279700281
56	0.277723375
57	0.2762532236
58	0.2750563864
59	0.2738228559
60	0.2727178588
61	0.2713509206
62	0.2696459771
63	0.2685066304
64	0.2672611544
65	0.2656781986
66	0.2643779469
67	0.2629357095
68	0.2620781075
69	0.2612950314
70	0.2604668727
71	0.2585358644
72	0.2577669577
73	0.2568882105
74	0.2561548617
75	0.2548209884
76	0.2536446628
77	0.2521440401
78	0.2516439551
79	0.2504591474
80	0.2491436513
81	0.2480392781
82	0.2472579574
83	0.2460425489
84	0.2450871604
85	0.2441535679
86	0.2433778839
87	0.2423019365
88	0.2412498775
89	0.2405982546
90	0.2398919695
91	0.2391678049
92	0.238397048
93	0.2374804397
94	0.2368006065
95	0.236196528
96	0.2353424022
97	0.2348212994
98	0.2336089429
99	0.232439944
100	0.2317351957
101	0.2305772705
102	0.2300736572
103	0.2293264455
104	0.2284420744
105	0.2274242597
106	0.2267499051
107	0.2258988099
108	0.2255959953
109	0.2244817849
110	0.2237879818
111	0.2230468396
112	0.2221023448
113	0.2215821919
114	0.2208647562
115	0.2194949481
116	0.2181983022
117	0.2175951226
118	0.2169859035
119	0.2161274196
120	0.2154220455
121	0.2150355805
122	0.2143376537
123	0.2136363734
124	0.212802771
125	0.2120756981
126	0.2115628701
127	0.2108990355
128	0.2103050102
129	0.2095984126
130	0.2092417897
131	0.2083780803
132	0.2079023751
133	0.2069352031
134	0.2064760671
135	0.2059317316
136	0.2053287554
137	0.2048867025
138	0.2041321404
139	0.2034635457
140	0.2030087946
141	0.2025300987
142	0.2017462871
143	0.2011740359
144	0.2008352971
145	0.2003873678
146	0.2000107401
147	0.1994755368
148	0.198956247
149	0.1979869169
150	0.1975289267
151	0.1969428707
152	0.1962803154
153	0.1957900458
154	0.1951085746
155	0.1945327424
156	0.1941887438
157	0.1935287097
158	0.1931839743
159	0.192850566
160	0.1921583543
161	0.1917378251
162	0.191233473
163	0.1909418232
164	0.1906050088
165	0.1900215134
166	0.1895337646
167	0.189147056
168	0.1887123169
169	0.1879559047
170	0.1875453716
171	0.1870492916
172	0.1864981377
173	0.1861521111
174	0.1856102157
175	0.1849101101
176	0.1843419842
177	0.183962629
178	0.183633583
179	0.1833156154
180	0.182979113
181	0.1826385179
182	0.1820655356
183	0.1815568594
184	0.1811192806
185	0.1808577734
186	0.180488058
187	0.1802037924
188	0.1797997532
189	0.179413097
190	0.1789958177
191	0.1788123626
192	0.1782871939
193	0.1780979035
194	0.1776776006
195	0.176954635
196	0.1765640303
197	0.1762855523
198	0.1758238598
199	0.1755236509
200	0.1751676031
201	0.1747497852
202	0.1741540801
203	0.1736380931
204	0.1733345631
205	0.1728935641
206	0.1726038209
207	0.1721259462
208	0.171503131
209	0.1710510424
210	0.1706700295
211	0.1702598278
212	0.1697562385
213	0.169385098
214	0.1690344731
215	0.1687389563
216	0.1684826257
217	0.1681032904
218	0.1676694194
219	0.1673381578
220	0.1668844929
221	0.1664420941
222	0.1660577441
223	0.1658404455
224	0.165623001
225	0.1649852978
226	0.1645489797
227	0.164185909
228	0.1636785782
229	0.1634546828
230	0.1632190202
231	0.1629989653
232	0.1625472113
233	0.1621529553
234	0.1618837829
235	0.1614104478
236	0.1612664551
237	0.1609567019
238	0.1605449719
239	0.1602880811
240	0.1599557139
241	0.1596045482
242	0.159407482
243	0.1590282185
244	0.1585790415
245	0.1583102066
246	0.1580198282
247	0.1576573277
248	0.1573519698
249	0.1569119175
250	0.1566551499
251	0.1563726229
252	0.1561263689
253	0.1556826357
254	0.1553590358
255	0.1549782698
256	0.1545601687
257	0.1543415896
258	0.1540725697
259	0.1537605376
260	0.1534779653
261	0.1531796947
262	0.1528306223
263	0.1524603717
264	0.1522046771
265	0.151750679
266	0.1513745325
267	0.1510719878
268	0.1508492772
269	0.1504447487
270	0.1499914698
271	0.1496425586
272	0.1492393395
273	0.1489421231
274	0.1486503895
275	0.1482740327
276	0.1479996815
277	0.1476367857
278	0.1474739851
279	0.1471783743
280	0.1469147097
281	0.1466462092
282	0.1464191987
283	0.1461138526
284	0.1458523167
285	0.145519811
286	0.1453510787
287	0.1450043885
288	0.1446990278
289	0.1443514727
290	0.1439484775
291	0.1436957605
292	0.1433872561
293	0.1431051914
294	0.1429190133
295	0.1426035842
296	0.1424582755
297	0.1423112629
298	0.1419664992
299	0.141706846
300	0.1414377115
301	0.1412169587
302	0.1410973357
303	0.1408987684
304	0.1405842382
305	0.1403934014
306	0.1400934982
307	0.1398162328
308	0.139509589
309	0.1392911598
310	0.1390987223
311	0.1387233261
312	0.1385063782
313	0.1382366986
314	0.1379395979
315	0.1377077978
316	0.1374378183
317	0.1372172035
318	0.1369526189
319	0.1367512083
320	0.1365271076
321	0.1363218787
322	0.1360027325
323	0.1356970779
324	0.135387699
325	0.1350717779
326	0.1347868231
327	0.1345778643
328	0.1344044156
329	0.1342185904
330	0.1339274603
331	0.1335516494
332	0.1333174532
333	0.1330441259
334	0.1328963265
335	0.1326426909
336	0.1325299184
337	0.1323320808
338	0.1321660854
339	0.1319431083
340	0.1317913835
341	0.1314875171
342	0.1312789625
343	0.1311108152
344	0.1308396094
345	0.1306309767
346	0.1305180203
347	0.1302676824
348	0.1300240008
349	0.1297459115
350	0.1296018476
351	0.1293324848
352	0.1292018299
353	0.1290508125
354	0.128815068
355	0.1284438589
356	0.1282545276
357	0.1279283748
358	0.1277009025
359	0.1275220711
360	0.1272357531
361	0.1271161831
362	0.1269331625
363	0.1268162817
364	0.1266306581
365	0.1264400138
366	0.126209621
367	0.126076498
368	0.1258504492
369	0.1256144154
370	0.125372104
371	0.125215436
372	0.1249897531
373	0.124840402
374	0.1246681846
375	0.1244413022
376	0.1242192331
377	0.1240484256
378	0.1238946148
379	0.1236877623
380	0.1235453884
381	0.1234144861
382	0.1232089719
383	0.1230395602
384	0.1228993352
385	0.1226934524
386	0.1224419925
387	0.1222657211
388	0.1220506046
389	0.1218737718
390	0.1217336561
391	0.1215032157
392	0.1213098897
393	0.1211020016
394	0.1209086533
395	0.120746254
