iter	Passed	Remaining
0	68	41196
1	79	23879
2	90	17974
3	101	15056
4	112	13333
5	123	12251
6	134	11432
7	145	10763
8	155	10207
9	166	9803
10	176	9461
11	187	9169
12	197	8934
13	208	8711
14	218	8524
15	229	8371
16	239	8223
17	250	8088
18	260	7973
19	270	7851
20	280	7737
21	294	7732
22	303	7626
23	313	7535
24	323	7444
25	333	7372
26	344	7301
27	353	7231
28	363	7159
29	373	7099
30	383	7031
31	392	6962
32	402	6910
33	411	6854
34	421	6799
35	430	6745
36	440	6700
37	449	6653
38	459	6604
39	468	6559
40	477	6511
41	486	6466
42	496	6434
43	506	6394
44	515	6352
45	524	6319
46	533	6277
47	543	6246
48	553	6220
49	561	6181
50	572	6164
51	582	6141
52	593	6123
53	604	6108
54	613	6083
55	624	6063
56	633	6039
57	643	6013
58	653	5991
59	663	5973
60	672	5944
61	683	5926
62	693	5912
63	703	5892
64	713	5870
65	723	5853
66	732	5828
67	741	5800
68	750	5775
69	759	5753
70	769	5735
71	779	5717
72	789	5696
73	798	5676
74	808	5661
75	818	5642
76	828	5630
77	839	5614
78	847	5592
79	858	5578
80	868	5563
81	878	5550
82	888	5532
83	898	5516
84	908	5502
85	917	5483
86	926	5464
87	935	5444
88	944	5422
89	953	5402
90	963	5391
91	973	5374
92	983	5360
93	992	5343
94	1002	5328
95	1012	5313
96	1022	5299
97	1031	5282
98	1041	5270
99	1051	5256
100	1061	5242
101	1071	5229
102	1080	5214
103	1091	5203
104	1101	5190
105	1111	5179
106	1121	5167
107	1131	5156
108	1141	5142
109	1152	5133
110	1162	5121
111	1173	5110
112	1183	5099
113	1194	5090
114	1205	5083
115	1216	5076
116	1227	5069
117	1239	5063
118	1249	5052
119	1260	5041
120	1270	5030
121	1281	5019
122	1291	5007
123	1302	5000
124	1313	4990
125	1323	4978
126	1333	4965
127	1343	4955
128	1353	4943
129	1364	4933
130	1374	4921
131	1385	4910
132	1395	4899
133	1405	4888
134	1415	4877
135	1426	4865
136	1436	4853
137	1446	4841
138	1456	4829
139	1467	4821
140	1477	4809
141	1487	4797
142	1496	4783
143	1507	4772
144	1516	4759
145	1526	4747
146	1538	4742
147	1551	4738
148	1560	4724
149	1570	4711
150	1580	4699
151	1589	4685
152	1599	4673
153	1608	4659
154	1618	4645
155	1627	4633
156	1637	4619
157	1646	4605
158	1655	4592
159	1664	4577
160	1674	4564
161	1683	4552
162	1693	4539
163	1702	4527
164	1712	4515
165	1722	4502
166	1731	4490
167	1741	4477
168	1750	4464
169	1760	4452
170	1769	4440
171	1779	4427
172	1788	4414
173	1797	4400
174	1807	4388
175	1817	4379
176	1827	4366
177	1836	4355
178	1846	4342
179	1855	4329
180	1863	4314
181	1873	4302
182	1882	4290
183	1892	4278
184	1901	4265
185	1911	4253
186	1920	4242
187	1930	4230
188	1940	4219
189	1949	4207
190	1959	4196
191	1968	4184
192	1978	4172
193	1988	4160
194	1998	4151
195	2008	4140
196	2018	4130
197	2028	4119
198	2039	4108
199	2057	4115
200	2067	4103
201	2077	4093
202	2088	4083
203	2098	4073
204	2108	4063
205	2119	4053
206	2129	4043
207	2139	4031
208	2149	4021
209	2159	4010
210	2169	4000
211	2180	3989
212	2190	3979
213	2199	3967
214	2209	3957
215	2220	3946
216	2230	3936
217	2240	3926
218	2251	3916
219	2263	3909
220	2275	3902
221	2285	3890
222	2295	3880
223	2305	3870
224	2314	3857
225	2324	3846
226	2333	3835
227	2343	3823
228	2353	3812
229	2363	3801
230	2372	3790
231	2381	3778
232	2391	3766
233	2401	3755
234	2410	3744
235	2420	3734
236	2430	3722
237	2440	3712
238	2450	3701
239	2459	3689
240	2469	3678
241	2479	3667
242	2488	3655
243	2498	3645
244	2508	3634
245	2518	3623
246	2527	3611
247	2536	3599
248	2545	3588
249	2555	3577
250	2564	3566
251	2574	3555
252	2584	3544
253	2594	3533
254	2603	3522
255	2613	3511
256	2623	3501
257	2633	3490
258	2642	3479
259	2652	3468
260	2662	3458
261	2671	3446
262	2682	3436
263	2691	3425
264	2700	3413
265	2709	3402
266	2719	3392
267	2729	3381
268	2739	3370
269	2749	3360
270	2758	3349
271	2768	3338
272	2778	3327
273	2788	3317
274	2797	3306
275	2807	3296
276	2817	3285
277	2827	3274
278	2836	3263
279	2846	3253
280	2856	3242
281	2865	3230
282	2874	3220
283	2884	3209
284	2894	3198
285	2903	3188
286	2914	3178
287	2924	3167
288	2933	3157
289	2943	3146
290	2954	3137
291	2964	3126
292	2974	3116
293	2984	3106
294	2993	3095
295	3003	3085
296	3013	3074
297	3023	3063
298	3034	3055
299	3046	3046
300	3056	3036
301	3067	3027
302	3080	3019
303	3091	3010
304	3102	3001
305	3112	2990
306	3122	2980
307	3132	2969
308	3142	2959
309	3153	2949
310	3163	2939
311	3173	2929
312	3183	2919
313	3193	2908
314	3204	2899
315	3214	2888
316	3224	2878
317	3234	2868
318	3245	2858
319	3255	2848
320	3265	2838
321	3275	2828
322	3286	2818
323	3296	2808
324	3307	2798
325	3317	2788
326	3329	2779
327	3339	2769
328	3348	2758
329	3358	2747
330	3368	2737
331	3379	2727
332	3390	2718
333	3400	2708
334	3411	2698
335	3421	2688
336	3431	2678
337	3441	2667
338	3452	2657
339	3461	2647
340	3472	2637
341	3482	2627
342	3492	2617
343	3503	2607
344	3516	2598
345	3527	2589
346	3541	2582
347	3552	2572
348	3561	2561
349	3571	2551
350	3581	2540
351	3591	2530
352	3600	2519
353	3610	2509
354	3621	2499
355	3631	2488
356	3640	2477
357	3650	2467
358	3660	2457
359	3669	2446
360	3679	2435
361	3688	2424
362	3698	2414
363	3707	2404
364	3717	2393
365	3726	2382
366	3736	2372
367	3746	2362
368	3757	2352
369	3767	2341
370	3776	2331
371	3786	2320
372	3796	2310
373	3807	2300
374	3818	2290
375	3827	2280
376	3837	2269
377	3847	2259
378	3856	2249
379	3866	2238
380	3876	2228
381	3885	2217
382	3895	2206
383	3904	2196
384	3914	2185
385	3924	2175
386	3933	2165
387	3943	2154
388	3952	2143
389	3961	2133
390	3971	2122
391	3981	2112
392	3991	2102
393	4002	2092
394	4011	2081
395	4021	2071
396	4032	2062
397	4043	2052
398	4054	2042
399	4064	2032
400	4075	2022
401	4085	2012
402	4096	2002
403	4107	1992
404	4116	1982
405	4126	1971
406	4136	1961
407	4146	1951
408	4157	1941
409	4169	1932
410	4181	1922
411	4192	1913
412	4203	1903
413	4215	1894
414	4226	1884
415	4238	1874
416	4250	1865
417	4267	1858
418	4278	1848
419	4291	1839
420	4306	1831
421	4318	1821
422	4329	1811
423	4339	1801
424	4351	1791
425	4362	1781
426	4373	1772
427	4384	1761
428	4394	1751
429	4404	1741
430	4415	1731
431	4425	1721
432	4435	1710
433	4446	1700
434	4458	1691
435	4468	1680
436	4479	1670
437	4489	1660
438	4499	1650
439	4510	1640
440	4521	1630
441	4532	1620
442	4541	1609
443	4551	1599
444	4561	1588
445	4570	1578
446	4580	1567
447	4589	1557
448	4598	1546
449	4608	1536
450	4617	1525
451	4627	1515
452	4636	1504
453	4646	1494
454	4656	1483
455	4666	1473
456	4675	1463
457	4685	1452
458	4695	1442
459	4705	1432
460	4715	1421
461	4725	1411
462	4734	1400
463	4743	1390
464	4753	1379
465	4763	1369
466	4772	1359
467	4783	1349
468	4793	1339
469	4803	1328
470	4813	1318
471	4822	1307
472	4832	1297
473	4842	1287
474	4852	1276
475	4861	1266
476	4871	1256
477	4881	1245
478	4891	1235
479	4901	1225
480	4911	1215
481	4921	1204
482	4930	1194
483	4939	1183
484	4949	1173
485	4958	1163
486	4969	1153
487	4979	1142
488	4987	1132
489	4997	1121
490	5007	1111
491	5017	1101
492	5026	1091
493	5037	1080
494	5049	1071
495	5059	1060
496	5069	1050
497	5079	1040
498	5090	1030
499	5100	1020
500	5110	1009
501	5121	999
502	5131	989
503	5142	979
504	5152	969
505	5162	959
506	5172	948
507	5182	938
508	5192	928
509	5203	918
510	5213	908
511	5223	897
512	5234	887
513	5245	877
514	5255	867
515	5265	857
516	5275	846
517	5286	836
518	5296	826
519	5307	816
520	5318	806
521	5328	796
522	5338	786
523	5349	775
524	5359	765
525	5370	755
526	5381	745
527	5391	735
528	5403	725
529	5414	715
530	5425	705
531	5436	694
532	5447	684
533	5457	674
534	5467	664
535	5479	654
536	5489	643
537	5500	633
538	5510	623
539	5525	613
540	5535	603
541	5545	593
542	5555	583
543	5564	572
544	5573	562
545	5584	552
546	5593	542
547	5604	531
548	5613	521
549	5622	511
550	5633	500
551	5643	490
552	5652	480
553	5661	470
554	5671	459
555	5681	449
556	5691	439
557	5701	429
558	5711	418
559	5720	408
560	5730	398
561	5740	388
562	5750	377
563	5760	367
564	5770	357
565	5780	347
566	5790	337
567	5800	326
568	5809	316
569	5819	306
570	5829	296
571	5839	285
572	5849	275
573	5860	265
574	5871	255
575	5881	245
576	5890	234
577	5899	224
578	5909	214
579	5920	204
580	5929	193
581	5938	183
582	5948	173
583	5959	163
584	5970	153
585	5979	142
586	5990	132
587	6000	122
588	6010	112
589	6021	102
590	6031	91
591	6041	81
592	6051	71
593	6062	61
594	6074	51
595	6083	40
596	6094	30
597	6104	20
598	6114	10
599	6125	0
